sample_id	domain	ecosystem	data_source	accession	has_flux	flux_value	flux_unit	latitude	longitude	depth_cm	salinity_ppt	temperature_c	collection_date	notes
RUMEN_MAG_020	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_021	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_022	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_023	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_024	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_025	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_026	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_027	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_028	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_029	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_030	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_031	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_032	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_033	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_034	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_035	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_036	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_037	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_038	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_039	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_040	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_041	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_042	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_043	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_044	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_045	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_046	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_047	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_048	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_049	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_050	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_051	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_052	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_053	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_054	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_055	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_056	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_057	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_058	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_059	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_060	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_061	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_062	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_063	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_064	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_065	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_066	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_067	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_068	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_069	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_070	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_071	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_072	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_073	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_074	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_075	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_076	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_077	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_078	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_079	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_080	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_081	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_082	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_083	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_084	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_085	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_086	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_087	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_088	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_089	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_090	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_091	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_092	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_093	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_094	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_095	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_096	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_097	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_098	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_099	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_100	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_101	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_102	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_103	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_104	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_105	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_106	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_107	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_108	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_109	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_110	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_111	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_112	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_113	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_114	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_115	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_116	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_117	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_118	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_119	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_120	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
MUCC_MAG_OWC_001	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_002	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_003	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_004	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_005	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_006	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_007	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_008	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_009	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_010	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_011	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_012	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_013	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_014	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_015	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_016	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_017	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_018	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_019	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_020	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_021	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_022	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_023	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_024	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_025	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_026	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_027	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_028	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_029	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_030	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_031	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_032	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_033	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_034	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_035	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_036	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_037	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_038	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_039	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_OWC_040	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site OWC (Old Woman Creek); replace MAG ID
MUCC_MAG_PPR_001	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site PPR (Prairie Pothole Region); replace MAG ID
MUCC_MAG_PPR_002	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site PPR (Prairie Pothole Region); replace MAG ID
MUCC_MAG_PPR_003	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site PPR (Prairie Pothole Region); replace MAG ID
MUCC_MAG_PPR_004	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site PPR (Prairie Pothole Region); replace MAG ID
MUCC_MAG_PPR_005	coastal	wetland	Zenodo	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	MUCC v2.0.0; MUCC site PPR (Prairie Pothole Region); replace MAG ID
