proteome_id	sample	source	ecosystem	domain	mag_id	mag_fasta	mag_fasta_basename	proteome_faa	proteome_faa_basename	source_analysis_accession	analysis_alias	source_filename	match_key	match_status	n_proteins_used	embedded_final_662	functional_run_include	notes	cohort_run_id	latest_run_id	latest_run_status	latest_run_dir	functional_predicted_proteins	scope_ratio	input_total_bp	input_contigs	input_n50_bp	input_fasta_kind	input_fasta_compressed_bytes	input_fasta_uncompressed_bytes	analysis_unit_type	mbag_mag_level_include	assembly_context_include	claim_scope	comparability_status	comparability_reason	recommended_action
rumen__10676_0022_idba	rumen__10676_0022_idba	rumen	rumen	Bacteria	10676_0022_idba	data/blue_catalyst_poc/rumen/raw/10676_0022_idba.fa.gz	10676_0022_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0022_idba.faa	rumen__10676_0022_idba.faa	ERZ1024266	webin-genome-10676_0022_idba_1kb	10676_0022_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_118_rumen__10676_0022_idba_20260613_123044	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0022_idba/fgx_118_rumen__10676_0022_idba_20260613_123044	11646	1.941	12826726	87	143327	compressed_gzip	3950787	13041664	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0021_idba	rumen__10676_0021_idba	rumen	rumen	Bacteria	10676_0021_idba	data/blue_catalyst_poc/rumen/raw/10676_0021_idba.fa.gz	10676_0021_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0021_idba.faa	rumen__10676_0021_idba.faa	ERZ1024267	webin-genome-10676_0021_idba_1kb	10676_0021_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_119_rumen__10676_0021_idba_20260613_131712	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0021_idba/fgx_119_rumen__10676_0021_idba_20260613_131712	42121	7.02017	50467344	437	121235	compressed_gzip	15621832	51314688	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0025_idba	rumen__10676_0025_idba	rumen	rumen	Bacteria	10676_0025_idba	data/blue_catalyst_poc/rumen/raw/10676_0025_idba.fa.gz	10676_0025_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0025_idba.faa	rumen__10676_0025_idba.faa	ERZ1024268	webin-genome-10676_0025_idba_1kb	10676_0025_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_120_rumen__10676_0025_idba_20260613_133828	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0025_idba/fgx_120_rumen__10676_0025_idba_20260613_133828	113690	18.9483	125081262	2617	54130	compressed_gzip	38616477	127205376	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0028_idba	rumen__10676_0028_idba	rumen	rumen	Bacteria	10676_0028_idba	data/blue_catalyst_poc/rumen/raw/10676_0028_idba.fa.gz	10676_0028_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0028_idba.faa	rumen__10676_0028_idba.faa	ERZ1024269	webin-genome-10676_0028_idba_1kb	10676_0028_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_121_rumen__10676_0028_idba_20260613_161507	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0028_idba/fgx_121_rumen__10676_0028_idba_20260613_161507	122628	20.438	137139419	2366	65155	compressed_gzip	42399148	139460608	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0020_idba	rumen__10676_0020_idba	rumen	rumen	Bacteria	10676_0020_idba	data/blue_catalyst_poc/rumen/raw/10676_0020_idba.fa.gz	10676_0020_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0020_idba.faa	rumen__10676_0020_idba.faa	ERZ1024270	webin-genome-10676_0020_idba_1kb	10676_0020_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_122_rumen__10676_0020_idba_20260613_195941	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0020_idba/fgx_122_rumen__10676_0020_idba_20260613_195941	123515	20.5858	138865735	3295	49062	compressed_gzip	43005956	141230080	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0029_idba	rumen__10676_0029_idba	rumen	rumen	Bacteria	10676_0029_idba	data/blue_catalyst_poc/rumen/raw/10676_0029_idba.fa.gz	10676_0029_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0029_idba.faa	rumen__10676_0029_idba.faa	ERZ1024271	webin-genome-10676_0029_idba_1kb	10676_0029_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_123_rumen__10676_0029_idba_20260613_215100	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0029_idba/fgx_123_rumen__10676_0029_idba_20260613_215100	168413	28.0688	187791888	7539	35947	compressed_gzip	58163168	191037440	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0035_idba	rumen__10676_0035_idba	rumen	rumen	Bacteria	10676_0035_idba	data/blue_catalyst_poc/rumen/raw/10676_0035_idba.fa.gz	10676_0035_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0035_idba.faa	rumen__10676_0035_idba.faa	ERZ1024272	webin-genome-10676_0035_idba_1kb	10676_0035_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_124_rumen__10676_0035_idba_20260613_215619	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0035_idba/fgx_124_rumen__10676_0035_idba_20260613_215619	67331	11.2218	75947691	1408	59282	compressed_gzip	23420981	77234176	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0034_idba	rumen__10676_0034_idba	rumen	rumen	Bacteria	10676_0034_idba	data/blue_catalyst_poc/rumen/raw/10676_0034_idba.fa.gz	10676_0034_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0034_idba.faa	rumen__10676_0034_idba.faa	ERZ1024273	webin-genome-10676_0034_idba_1kb	10676_0034_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_125_rumen__10676_0034_idba_20260613_231813	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0034_idba/fgx_125_rumen__10676_0034_idba_20260613_231813	64225	10.7042	74340973	1091	74665	compressed_gzip	23007991	75595776	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0030_idba	rumen__10676_0030_idba	rumen	rumen	Bacteria	10676_0030_idba	data/blue_catalyst_poc/rumen/raw/10676_0030_idba.fa.gz	10676_0030_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0030_idba.faa	rumen__10676_0030_idba.faa	ERZ1024274	webin-genome-10676_0030_idba_1kb	10676_0030_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_126_rumen__10676_0030_idba_20260614_015948	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0030_idba/fgx_126_rumen__10676_0030_idba_20260614_015948	87234	14.539	97826542	1793	61706	compressed_gzip	30269357	99483648	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0036_idba	rumen__10676_0036_idba	rumen	rumen	Bacteria	10676_0036_idba	data/blue_catalyst_poc/rumen/raw/10676_0036_idba.fa.gz	10676_0036_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0036_idba.faa	rumen__10676_0036_idba.faa	ERZ1024275	webin-genome-10676_0036_idba_1kb	10676_0036_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_127_rumen__10676_0036_idba_20260614_031131	partial	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0036_idba/fgx_127_rumen__10676_0036_idba_20260614_031131	175786	29.2977	199118738	6630	34639	compressed_gzip	61701698	202539008	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0032_idba	rumen__10676_0032_idba	rumen	rumen	Bacteria	10676_0032_idba	data/blue_catalyst_poc/rumen/raw/10676_0032_idba.fa.gz	10676_0032_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0032_idba.faa	rumen__10676_0032_idba.faa	ERZ1024276	webin-genome-10676_0032_idba_1kb	10676_0032_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_128_rumen__10676_0032_idba_20260614_032222	partial	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0032_idba/fgx_128_rumen__10676_0032_idba_20260614_032222	295582	49.2637	320872060	15691	29678	compressed_gzip	99321374	326467584	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0026_idba	rumen__10676_0026_idba	rumen	rumen	Bacteria	10676_0026_idba	data/blue_catalyst_poc/rumen/raw/10676_0026_idba.fa.gz	10676_0026_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0026_idba.faa	rumen__10676_0026_idba.faa	ERZ1024277	webin-genome-10676_0026_idba_1kb	10676_0026_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_129_rumen__10676_0026_idba_20260614_070538	partial	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0026_idba/fgx_129_rumen__10676_0026_idba_20260614_070538	395924	65.9873	421272211	57347	12105	compressed_gzip	130793687	429228032	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0033_idba	rumen__10676_0033_idba	rumen	rumen	Bacteria	10676_0033_idba	data/blue_catalyst_poc/rumen/raw/10676_0033_idba.fa.gz	10676_0033_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0033_idba.faa	rumen__10676_0033_idba.faa	ERZ1024278	webin-genome-10676_0033_idba_1kb	10676_0033_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_130_rumen__10676_0033_idba_20260614_071100	partial	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0033_idba/fgx_130_rumen__10676_0033_idba_20260614_071100	369748	61.6247	398260358	33440	19733	compressed_gzip	123477674	405438464	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0027_idba	rumen__10676_0027_idba	rumen	rumen	Bacteria	10676_0027_idba	data/blue_catalyst_poc/rumen/raw/10676_0027_idba.fa.gz	10676_0027_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0027_idba.faa	rumen__10676_0027_idba.faa	ERZ1024280	webin-genome-10676_0027_idba_1kb	10676_0027_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	135862790		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0048_idba	rumen__10676_0048_idba	rumen	rumen	Bacteria	10676_0048_idba	data/blue_catalyst_poc/rumen/raw/10676_0048_idba.fa.gz	10676_0048_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0048_idba.faa	rumen__10676_0048_idba.faa	ERZ1024281	webin-genome-10676_0048_idba_1kb	10676_0048_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	147409483		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0046_idba	rumen__10676_0046_idba	rumen	rumen	Bacteria	10676_0046_idba	data/blue_catalyst_poc/rumen/raw/10676_0046_idba.fa.gz	10676_0046_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0046_idba.faa	rumen__10676_0046_idba.faa	ERZ1024282	webin-genome-10676_0046_idba_1kb	10676_0046_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	127696364		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0049_idba	rumen__10676_0049_idba	rumen	rumen	Bacteria	10676_0049_idba	data/blue_catalyst_poc/rumen/raw/10676_0049_idba.fa.gz	10676_0049_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0049_idba.faa	rumen__10676_0049_idba.faa	ERZ1024284	webin-genome-10676_0049_idba_1kb	10676_0049_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	141695112		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0042_idba	rumen__10676_0042_idba	rumen	rumen	Bacteria	10676_0042_idba	data/blue_catalyst_poc/rumen/raw/10676_0042_idba.fa.gz	10676_0042_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0042_idba.faa	rumen__10676_0042_idba.faa	ERZ1024285	webin-genome-10676_0042_idba_1kb	10676_0042_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	147593751		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0043_idba	rumen__10676_0043_idba	rumen	rumen	Bacteria	10676_0043_idba	data/blue_catalyst_poc/rumen/raw/10676_0043_idba.fa.gz	10676_0043_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0043_idba.faa	rumen__10676_0043_idba.faa	ERZ1024286	webin-genome-10676_0043_idba_1kb	10676_0043_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	142308934		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0051_idba	rumen__10676_0051_idba	rumen	rumen	Bacteria	10676_0051_idba	data/blue_catalyst_poc/rumen/raw/10676_0051_idba.fa.gz	10676_0051_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0051_idba.faa	rumen__10676_0051_idba.faa	ERZ1024287	webin-genome-10676_0051_idba_1kb	10676_0051_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	133601167		assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
