proteome_id	sample	source	ecosystem	domain	mag_id_candidate	assembly_id_candidate	bin_id_candidate	mucc_img_like_id	source_analysis_accession	analysis_alias	filename	proteome_faa_basename	proteome_faa_stem	proteome_faa	n_proteins_used	checkpoint_batch	checkpoint_order	embedded_final_662	excluded_reason	download_url	download_fallback_urls
mucc__3300032805_20	mucc__3300032805_20	mucc	wetland	Unknown	3300032805_20	3300032805_20		3300032805_20				mucc__3300032805_20.faa	mucc__3300032805_20	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300032805_20.faa	1540.0	2.0	4.0	True			
mucc__3300032892_32	mucc__3300032892_32	mucc	wetland	Unknown	3300032892_32	3300032892_32		3300032892_32				mucc__3300032892_32.faa	mucc__3300032892_32	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300032892_32.faa	1148.0	2.0	5.0	True			
mucc__3300034281_6	mucc__3300034281_6	mucc	wetland	Unknown	3300034281_6	3300034281_6		3300034281_6				mucc__3300034281_6.faa	mucc__3300034281_6	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300034281_6.faa	2574.0	2.0	6.0	True			
mucc__3300036760_62	mucc__3300036760_62	mucc	wetland	Unknown	3300036760_62	3300036760_62		3300036760_62				mucc__3300036760_62.faa	mucc__3300036760_62	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300036760_62.faa	1548.0	2.0	7.0	True			
mucc__3300036886_19	mucc__3300036886_19	mucc	wetland	Unknown	3300036886_19	3300036886_19		3300036886_19				mucc__3300036886_19.faa	mucc__3300036886_19	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300036886_19.faa	2322.0	2.0	8.0	True			
mucc__3300037043_48	mucc__3300037043_48	mucc	wetland	Unknown	3300037043_48	3300037043_48		3300037043_48				mucc__3300037043_48.faa	mucc__3300037043_48	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037043_48.faa	2926.0	2.0	9.0	True			
mucc__3300037062_11	mucc__3300037062_11	mucc	wetland	Unknown	3300037062_11	3300037062_11		3300037062_11				mucc__3300037062_11.faa	mucc__3300037062_11	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037062_11.faa	2903.0	2.0	10.0	True			
mucc__3300037089_14	mucc__3300037089_14	mucc	wetland	Unknown	3300037089_14	3300037089_14		3300037089_14				mucc__3300037089_14.faa	mucc__3300037089_14	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037089_14.faa	2587.0	2.0	11.0	True			
mucc__3300037104_21	mucc__3300037104_21	mucc	wetland	Unknown	3300037104_21	3300037104_21		3300037104_21				mucc__3300037104_21.faa	mucc__3300037104_21	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037104_21.faa	1897.0	2.0	12.0	True			
mucc__3300037264_32	mucc__3300037264_32	mucc	wetland	Unknown	3300037264_32	3300037264_32		3300037264_32				mucc__3300037264_32.faa	mucc__3300037264_32	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037264_32.faa	2100.0	2.0	13.0	True			
mucc__3300037365_14	mucc__3300037365_14	mucc	wetland	Unknown	3300037365_14	3300037365_14		3300037365_14				mucc__3300037365_14.faa	mucc__3300037365_14	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300037365_14.faa	1649.0	2.0	14.0	True			
mucc__3300038415_26	mucc__3300038415_26	mucc	wetland	Unknown	3300038415_26	3300038415_26		3300038415_26				mucc__3300038415_26.faa	mucc__3300038415_26	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300038415_26.faa	2451.0	2.0	15.0	True			
mucc__3300038427_21	mucc__3300038427_21	mucc	wetland	Unknown	3300038427_21	3300038427_21		3300038427_21				mucc__3300038427_21.faa	mucc__3300038427_21	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300038427_21.faa	2635.0	2.0	16.0	True			
mucc__3300038429_25	mucc__3300038429_25	mucc	wetland	Unknown	3300038429_25	3300038429_25		3300038429_25				mucc__3300038429_25.faa	mucc__3300038429_25	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300038429_25.faa	2087.0	2.0	17.0	True			
mucc__3300038469_39	mucc__3300038469_39	mucc	wetland	Unknown	3300038469_39	3300038469_39		3300038469_39				mucc__3300038469_39.faa	mucc__3300038469_39	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300038469_39.faa	1483.0	2.0	18.0	True			
mucc__3300038619_18	mucc__3300038619_18	mucc	wetland	Unknown	3300038619_18	3300038619_18		3300038619_18				mucc__3300038619_18.faa	mucc__3300038619_18	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300038619_18.faa	2004.0	2.0	19.0	True			
mucc__3300040758_18	mucc__3300040758_18	mucc	wetland	Unknown	3300040758_18	3300040758_18		3300040758_18				mucc__3300040758_18.faa	mucc__3300040758_18	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300040758_18.faa	2256.0	2.0	20.0	True			
mucc__3300043294_37	mucc__3300043294_37	mucc	wetland	Unknown	3300043294_37	3300043294_37		3300043294_37				mucc__3300043294_37.faa	mucc__3300043294_37	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300043294_37.faa	2548.0	2.0	21.0	True			
mucc__3300044712_168	mucc__3300044712_168	mucc	wetland	Unknown	3300044712_168	3300044712_168		3300044712_168				mucc__3300044712_168.faa	mucc__3300044712_168	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300044712_168.faa	1597.0	2.0	22.0	True			
mucc__3300044712_309	mucc__3300044712_309	mucc	wetland	Unknown	3300044712_309	3300044712_309		3300044712_309				mucc__3300044712_309.faa	mucc__3300044712_309	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300044712_309.faa	1369.0	2.0	23.0	True			
mucc__3300044798_59	mucc__3300044798_59	mucc	wetland	Unknown	3300044798_59	3300044798_59		3300044798_59				mucc__3300044798_59.faa	mucc__3300044798_59	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300044798_59.faa	860.0	2.0	24.0	True			
mucc__3300045007_113	mucc__3300045007_113	mucc	wetland	Unknown	3300045007_113	3300045007_113		3300045007_113				mucc__3300045007_113.faa	mucc__3300045007_113	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300045007_113.faa	1409.0	3.0	0.0	True			
mucc__3300045146_47	mucc__3300045146_47	mucc	wetland	Unknown	3300045146_47	3300045146_47		3300045146_47				mucc__3300045146_47.faa	mucc__3300045146_47	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300045146_47.faa	2121.0	3.0	1.0	True			
mucc__3300046504_2	mucc__3300046504_2	mucc	wetland	Unknown	3300046504_2	3300046504_2		3300046504_2				mucc__3300046504_2.faa	mucc__3300046504_2	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300046504_2.faa	1466.0	3.0	2.0	True			
mucc__3300046652_21	mucc__3300046652_21	mucc	wetland	Unknown	3300046652_21	3300046652_21		3300046652_21				mucc__3300046652_21.faa	mucc__3300046652_21	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300046652_21.faa	1604.0	3.0	3.0	True			
mucc__3300046710_16	mucc__3300046710_16	mucc	wetland	Unknown	3300046710_16	3300046710_16		3300046710_16				mucc__3300046710_16.faa	mucc__3300046710_16	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300046710_16.faa	1428.0	3.0	4.0	True			
mucc__3300047187_12	mucc__3300047187_12	mucc	wetland	Unknown	3300047187_12	3300047187_12		3300047187_12				mucc__3300047187_12.faa	mucc__3300047187_12	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300047187_12.faa	1383.0	3.0	5.0	True			
mucc__3300047644_14	mucc__3300047644_14	mucc	wetland	Unknown	3300047644_14	3300047644_14		3300047644_14				mucc__3300047644_14.faa	mucc__3300047644_14	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300047644_14.faa	2565.0	3.0	6.0	True			
mucc__3300048599_34	mucc__3300048599_34	mucc	wetland	Unknown	3300048599_34	3300048599_34		3300048599_34				mucc__3300048599_34.faa	mucc__3300048599_34	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300048599_34.faa	2437.0	3.0	7.0	True			
mucc__3300049718_33	mucc__3300049718_33	mucc	wetland	Unknown	3300049718_33	3300049718_33		3300049718_33				mucc__3300049718_33.faa	mucc__3300049718_33	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300049718_33.faa	2366.0	3.0	8.0	True			
mucc__3300050014_5	mucc__3300050014_5	mucc	wetland	Unknown	3300050014_5	3300050014_5		3300050014_5				mucc__3300050014_5.faa	mucc__3300050014_5	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300050014_5.faa	2085.0	3.0	9.0	True			
mucc__3300052918_29	mucc__3300052918_29	mucc	wetland	Unknown	3300052918_29	3300052918_29		3300052918_29				mucc__3300052918_29.faa	mucc__3300052918_29	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300052918_29.faa	2515.0	3.0	10.0	True			
mucc__GCA_002067035.1_genomic	mucc__GCA_002067035.1_genomic	mucc	wetland	Unknown	GCA_002067035.1_genomic	GCA_002067035.1_genomic						mucc__GCA_002067035.1_genomic.faa	mucc__GCA_002067035.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002067035.1_genomic.faa	2903.0	3.0	11.0	True			
mucc__GCA_002495055.1_genomic	mucc__GCA_002495055.1_genomic	mucc	wetland	Unknown	GCA_002495055.1_genomic	GCA_002495055.1_genomic						mucc__GCA_002495055.1_genomic.faa	mucc__GCA_002495055.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002495055.1_genomic.faa	2870.0	3.0	12.0	True			
mucc__GCA_002495065.1_genomic	mucc__GCA_002495065.1_genomic	mucc	wetland	Unknown	GCA_002495065.1_genomic	GCA_002495065.1_genomic						mucc__GCA_002495065.1_genomic.faa	mucc__GCA_002495065.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002495065.1_genomic.faa	2546.0	3.0	13.0	True			
mucc__GCA_002495465.1_ASM249546v1_genomic	mucc__GCA_002495465.1_ASM249546v1_genomic	mucc	wetland	Unknown	GCA_002495465.1_ASM249546v1_genomic	GCA_002495465.1_ASM249546v1_genomic						mucc__GCA_002495465.1_ASM249546v1_genomic.faa	mucc__GCA_002495465.1_ASM249546v1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002495465.1_ASM249546v1_genomic.faa	731.0	3.0	14.0	True			
mucc__GCA_002497485.1_genomic	mucc__GCA_002497485.1_genomic	mucc	wetland	Unknown	GCA_002497485.1_genomic	GCA_002497485.1_genomic						mucc__GCA_002497485.1_genomic.faa	mucc__GCA_002497485.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002497485.1_genomic.faa	1912.0	3.0	15.0	True			
mucc__GCA_002502245.1_genomic	mucc__GCA_002502245.1_genomic	mucc	wetland	Unknown	GCA_002502245.1_genomic	GCA_002502245.1_genomic						mucc__GCA_002502245.1_genomic.faa	mucc__GCA_002502245.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002502245.1_genomic.faa	2213.0	3.0	16.0	True			
mucc__GCA_002502735.1_genomic	mucc__GCA_002502735.1_genomic	mucc	wetland	Unknown	GCA_002502735.1_genomic	GCA_002502735.1_genomic						mucc__GCA_002502735.1_genomic.faa	mucc__GCA_002502735.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002502735.1_genomic.faa	2414.0	3.0	17.0	True			
mucc__GCA_002508495.1_genomic	mucc__GCA_002508495.1_genomic	mucc	wetland	Unknown	GCA_002508495.1_genomic	GCA_002508495.1_genomic						mucc__GCA_002508495.1_genomic.faa	mucc__GCA_002508495.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002508495.1_genomic.faa	2047.0	3.0	18.0	True			
mucc__GCA_002835825.1_genomic	mucc__GCA_002835825.1_genomic	mucc	wetland	Unknown	GCA_002835825.1_genomic	GCA_002835825.1_genomic						mucc__GCA_002835825.1_genomic.faa	mucc__GCA_002835825.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002835825.1_genomic.faa	3160.0	3.0	19.0	True			
mucc__GCA_002839605.1_genomic	mucc__GCA_002839605.1_genomic	mucc	wetland	Unknown	GCA_002839605.1_genomic	GCA_002839605.1_genomic						mucc__GCA_002839605.1_genomic.faa	mucc__GCA_002839605.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002839605.1_genomic.faa	2601.0	3.0	20.0	True			
mucc__GCA_002839675.1_genomic	mucc__GCA_002839675.1_genomic	mucc	wetland	Unknown	GCA_002839675.1_genomic	GCA_002839675.1_genomic						mucc__GCA_002839675.1_genomic.faa	mucc__GCA_002839675.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_002839675.1_genomic.faa	2491.0	3.0	21.0	True			
mucc__GCA_003136075.1_genomic	mucc__GCA_003136075.1_genomic	mucc	wetland	Unknown	GCA_003136075.1_genomic	GCA_003136075.1_genomic						mucc__GCA_003136075.1_genomic.faa	mucc__GCA_003136075.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_003136075.1_genomic.faa	2554.0	3.0	22.0	True			
mucc__GCA_003154335.1_genomic	mucc__GCA_003154335.1_genomic	mucc	wetland	Unknown	GCA_003154335.1_genomic	GCA_003154335.1_genomic						mucc__GCA_003154335.1_genomic.faa	mucc__GCA_003154335.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_003154335.1_genomic.faa	2391.0	3.0	23.0	True			
mucc__GCA_003157895.1_genomic	mucc__GCA_003157895.1_genomic	mucc	wetland	Unknown	GCA_003157895.1_genomic	GCA_003157895.1_genomic						mucc__GCA_003157895.1_genomic.faa	mucc__GCA_003157895.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_003157895.1_genomic.faa	2280.0	3.0	24.0	True			
mucc__GCA_003170075.1_genomic	mucc__GCA_003170075.1_genomic	mucc	wetland	Unknown	GCA_003170075.1_genomic	GCA_003170075.1_genomic						mucc__GCA_003170075.1_genomic.faa	mucc__GCA_003170075.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_003170075.1_genomic.faa	1982.0	4.0	0.0	True			
mucc__GCA_012798365.1_genomic	mucc__GCA_012798365.1_genomic	mucc	wetland	Unknown	GCA_012798365.1_genomic	GCA_012798365.1_genomic						mucc__GCA_012798365.1_genomic.faa	mucc__GCA_012798365.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_012798365.1_genomic.faa	2821.0	4.0	1.0	True			
mucc__GCA_013331015.1_genomic	mucc__GCA_013331015.1_genomic	mucc	wetland	Unknown	GCA_013331015.1_genomic	GCA_013331015.1_genomic						mucc__GCA_013331015.1_genomic.faa	mucc__GCA_013331015.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_013331015.1_genomic.faa	2397.0	4.0	2.0	True			
mucc__GCA_903832665.1_genomic	mucc__GCA_903832665.1_genomic	mucc	wetland	Unknown	GCA_903832665.1_genomic	GCA_903832665.1_genomic						mucc__GCA_903832665.1_genomic.faa	mucc__GCA_903832665.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCA_903832665.1_genomic.faa	3016.0	4.0	3.0	True			
mucc__GCF_000017625.1_genomic	mucc__GCF_000017625.1_genomic	mucc	wetland	Unknown	GCF_000017625.1_genomic	GCF_000017625.1_genomic						mucc__GCF_000017625.1_genomic.faa	mucc__GCF_000017625.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCF_000017625.1_genomic.faa	2503.0	4.0	4.0	True			
mucc__GCF_000327485.1_genomic	mucc__GCF_000327485.1_genomic	mucc	wetland	Unknown	GCF_000327485.1_genomic	GCF_000327485.1_genomic						mucc__GCF_000327485.1_genomic.faa	mucc__GCF_000327485.1_genomic	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__GCF_000327485.1_genomic.faa	2850.0	4.0	5.0	True			
